Central Yr,HadGEM2-6.0,GFDL-ESM2M-6.0,IPSL-CM5A-LR-6.0,MIROC5-6.0,HadGEM2-2.6,GFDL-ESM2M-2.6,IPSL-CM5A-LR-2.6,MIROC5-2.6
1967,0.13674296,0.218937815,0.418837294,0.171617454,0.13674296,0.218937815,0.418837294,0.171617454
1968,0.137688712,0.213018448,0.428120628,0.158051478,0.137688712,0.213018448,0.428120628,0.158051478
1969,0.143626413,0.217916133,0.440435975,0.138077943,0.143626413,0.217916133,0.440435975,0.138077943
1970,0.143439696,0.223298812,0.440585316,0.119855563,0.143439696,0.223298812,0.440585316,0.119855563
1971,0.137628666,0.218179475,0.427009582,0.101345602,0.137628666,0.218179475,0.427009582,0.101345602
1972,0.138457394,0.209474807,0.422508495,0.092816668,0.138457394,0.209474807,0.422508495,0.092816668
1973,0.144838113,0.222663885,0.434370827,0.09664744,0.144838113,0.222663885,0.434370827,0.09664744
1974,0.147922261,0.240064927,0.445932347,0.091918303,0.147922261,0.240064927,0.445932347,0.091918303
1975,0.147670517,0.267634906,0.469426906,0.094608983,0.147670517,0.267634906,0.469426906,0.094608983
1976,0.158178698,0.280914578,0.490466807,0.08890801,0.158178698,0.280914578,0.490466807,0.08890801
1977,0.173735225,0.291817663,0.514458665,0.078579282,0.173735225,0.291817663,0.514458665,0.078579282
1978,0.172482116,0.321803968,0.533870993,0.092356536,0.172482116,0.321803968,0.533870993,0.092356536
1979,0.18556694,0.356814167,0.561123448,0.112100613,0.18556694,0.356814167,0.561123448,0.112100613
1980,0.207684872,0.367658058,0.593087357,0.128079846,0.207684872,0.367658058,0.593087357,0.128079846
1981,0.228889049,0.381964306,0.621750129,0.142673374,0.228889049,0.381964306,0.621750129,0.142673374
1982,0.243494584,0.405458995,0.638399467,0.162396063,0.243494584,0.405458995,0.638399467,0.162396063
1983,0.242574891,0.415945653,0.652914942,0.180067188,0.242574891,0.415945653,0.652914942,0.180067188
1984,0.241511893,0.40636706,0.67488296,0.213460104,0.241511893,0.40636706,0.67488296,0.213460104
1985,0.255637618,0.411827262,0.692450472,0.22647106,0.255637618,0.411827262,0.692450472,0.22647106
1986,0.262139206,0.430442985,0.709647582,0.217842134,0.262139206,0.430442985,0.709647582,0.217842134
1987,0.260245726,0.464235318,0.727418045,0.211820976,0.260245726,0.464235318,0.727418045,0.211820976
1988,0.258706228,0.486516595,0.752967836,0.239356526,0.258706228,0.486516595,0.752967836,0.239356526
1989,0.266187783,0.496008469,0.790976008,0.270473941,0.266187783,0.496008469,0.790976008,0.270473941
1990,0.283938468,0.508608688,0.833222929,0.294862811,0.283938468,0.508608688,0.833222929,0.294862811
1991,0.306128742,0.531967449,0.877706383,0.311947507,0.306128742,0.531967449,0.877706383,0.311947507
1992,0.330118322,0.563730704,0.913815838,0.328588454,0.330118322,0.563730704,0.913815838,0.328588454
1993,0.348823967,0.588285868,0.946577229,0.359297619,0.348823967,0.588285868,0.946577229,0.359297619
1994,0.375396225,0.601775374,0.982605608,0.40577373,0.375396225,0.601775374,0.982605608,0.40577373
1995,0.409575766,0.620457284,1.017794396,0.457473458,0.409575766,0.620457284,1.017794396,0.457473458
1996,0.443358103,0.649788131,1.064154664,0.502207708,0.443358103,0.649788131,1.064154664,0.502207708
1997,0.471638146,0.674721681,1.096830266,0.526809616,0.471638146,0.674721681,1.096830266,0.526809616
1998,0.508828575,0.692279286,1.121689784,0.543796555,0.508828575,0.692279286,1.121689784,0.543796555
1999,0.541229104,0.693179616,1.141018853,0.57269282,0.541229104,0.693179616,1.141018853,0.57269282
2000,0.571604758,0.720373981,1.158828357,0.60285031,0.571604758,0.720373981,1.158828357,0.60285031
2001,0.604094326,0.742825936,1.176314892,0.621115594,0.604094326,0.742825936,1.176314892,0.621115594
2002,0.632633135,0.7625624,1.203662666,0.640707521,0.632633135,0.7625624,1.203662666,0.640707521
2003,0.683265583,0.798166343,1.236850213,0.679001046,0.683265583,0.798166343,1.236850213,0.679001046
2004,0.738022528,0.831060597,1.268867792,0.705527036,0.738022528,0.831060597,1.268867792,0.705527036
2005,0.785507058,0.863062046,1.304676075,0.728067101,0.785507058,0.863062046,1.304676075,0.728067101
2006,0.834818846,0.881064983,1.345181668,0.747547175,0.8412916683,0.8847979822,1.349518972,0.7532945262
2007,0.886107095,0.884157432,1.381414971,0.77078232,0.8998480732,0.8916496353,1.390323235,0.782634299
2008,0.929451014,0.896679295,1.411777007,0.789149482,0.9510706909,0.9080767622,1.425433095,0.807351086
2009,0.971154949,0.920810772,1.439377551,0.80530468,1.001274602,0.9364163672,1.457941641,0.8300703081
2010,1.006338703,0.950821554,1.45947803,0.819420952,1.045352266,0.9709643139,1.483007195,0.8509206363
2011,1.031726735,0.955241854,1.477261485,0.83398809,1.079724098,0.9795255366,1.50584052,0.8724596884
2012,1.061085938,0.957232416,1.497587978,0.859227314,1.118676331,0.9856224159,1.531388961,0.9054691689
2013,1.096904019,0.960736158,1.521506226,0.8866324,1.164943353,0.9933006327,1.560752882,0.9411658177
2014,1.132989406,0.985828191,1.545317454,0.894445096,1.21205177,1.023420041,1.590160919,0.9563357866
2015,1.170197547,1.01049942,1.57187598,0.885005732,1.260929576,1.053313442,1.622558385,0.9530474414
2018,1.270492,1.054871,1.657013,0.924824,1.379695,1.093264,1.720431,0.998877
2019,1.299798,1.085437,1.689965,0.953995,1.424029,1.103985,1.747198,1.035235
2020,1.320184,1.093149,1.719721,0.959877,1.464604,1.126587,1.765914,1.065858
2021,1.33879,1.100824,1.748098,0.969449,1.508168,1.149365,1.789645,1.073284
2022,1.354353,1.108542,1.77791,0.979211,1.538431,1.173539,1.816219,1.073427
2023,1.377012,1.114551,1.816046,0.977391,1.570701,1.178593,1.843362,1.08406
2024,1.404182,1.128585,1.834032,0.98463,1.596894,1.193773,1.870306,1.094022
2025,1.427397,1.148492,1.853104,1.013524,1.624051,1.208275,1.885072,1.100721
2026,1.452459,1.166054,1.878307,1.033402,1.646247,1.227534,1.897515,1.107973
2027,1.475397,1.176383,1.894226,1.039088,1.666955,1.235323,1.910183,1.116985
2028,1.501132,1.185131,1.912812,1.044922,1.684645,1.240835,1.912849,1.131815
2029,1.516808,1.202856,1.933419,1.063323,1.705716,1.243527,1.925488,1.1604
2030,1.536249,1.216418,1.953727,1.087326,1.736292,1.245141,1.961336,1.188144
2031,1.571479,1.223874,1.973978,1.100413,1.753717,1.251659,1.990437,1.222376
2032,1.600842,1.240235,1.993652,1.10148,1.763944,1.260728,2.01196,1.266447
2033,1.628286,1.263413,2.010745,1.098843,1.771283,1.26611,2.024036,1.279191
2034,1.658274,1.270625,2.039575,1.125617,1.781797,1.260336,2.030139,1.274893
2035,1.692427,1.273563,2.06789,1.168824,1.78853,1.262839,2.040955,1.293022
2036,1.717643,1.286252,2.097506,1.184953,1.799906,1.263406,2.055133,1.315193
2037,1.737301,1.292021,2.133317,1.190297,1.808887,1.259827,2.071298,1.336941
2038,1.75838,1.299441,2.166532,1.192731,1.825307,1.275226,2.07368,1.353131
2039,1.780291,1.293127,2.189699,1.199086,1.839139,1.283879,2.089895,1.368417
2040,1.806881,1.307428,2.216926,1.235711,1.856054,1.282413,2.108933,1.360462
2041,1.836185,1.32112,2.243714,1.267745,1.85655,1.271847,2.124638,1.374171
2042,1.873655,1.324593,2.274546,1.290012,1.866626,1.256101,2.129594,1.40084
2043,1.898017,1.329875,2.296401,1.309896,1.865878,1.270674,2.13818,1.428681
2044,1.919378,1.33841,2.331652,1.324524,1.863383,1.280144,2.142967,1.452446
2045,1.951492,1.339966,2.3604,1.33829,1.86107,1.280918,2.167687,1.475028
2046,1.984233,1.357577,2.379351,1.363121,1.869277,1.270653,2.191148,1.484755
